index,model_id,category,super-category
109,0130438f-1e1c-429e-8cad-b3a16eb00c96,Three-Seat / Multi-seat Sofa,Sofa
110,013207f3-b388-4335-b2b1-a91dd49be349,Pendant Lamp,Lighting
111,013b4248-7d05-4452-8aed-118a4195872e,Sideboard / Side Cabinet / Console,Cabinet/Shelf/Desk
112,013b91c9-b8d8-3ba2-9663-1912fbb240c3,Dining Table,Table
113,013d456c-e96d-47fd-ae84-c0ed76491e2d,Bookcase / jewelry Armoire,Cabinet/Shelf/Desk
114,013e03b1-98e4-417c-9609-b132c92094fb,Three-Seat / Multi-seat Sofa,Sofa
115,013f235f-1034-4476-8b32-7282d4822b1f,Three-Seat / Multi-seat Sofa,Sofa
116,014813da-7bfb-438f-93e6-dad1ab34ae55,Dining Chair,Chair
117,01482e2c-b64c-4e31-866c-cbdebe08d5d5,Corner/Side Table,Cabinet/Shelf/Desk
118,014ab495-1a3d-38ab-92a3-e56480d2bc69,Dining Chair,Chair
119,01519e3f-6a69-4f66-9e5f-2b54894ca901,Three-Seat / Multi-seat Sofa,Sofa
120,01531f9d-1dd4-4fbd-aad3-3ec4bf305ec8,,Others
121,0154b34b-cbbc-4ed4-8eec-04468a0f7e05,Wardrobe,Cabinet/Shelf/Desk
122,0157cd98-fa1d-4009-b7d6-85fbc44a6eba,Coffee Table,Cabinet/Shelf/Desk
123,0158dc1f-f6f4-49eb-98db-ceee9c737a74,Dining Table,Table
124,015b1c3d-804a-42d2-a651-0c10483bfb88,Bar,Table
125,015f0b96-e13d-4b13-9300-f6d5dc0ca6a6,Sideboard / Side Cabinet / Console,Cabinet/Shelf/Desk
126,0161bdab-2cb7-451f-ab1d-2e046c7229fd,Lounge Chair / Cafe Chair / Office Chair,Chair
127,01629aae-3b5d-4602-8899-13386406999b,Wardrobe,Cabinet/Shelf/Desk
128,016514ec-7131-4828-b090-22429ed678d2,Wardrobe,Cabinet/Shelf/Desk
129,016606df-0db0-33a6-a9d4-2aee03eec507,Loveseat Sofa,Sofa
130,01687395-14ca-4ed8-8e51-b18463d630dc,Lounge Chair / Cafe Chair / Office Chair,Chair
131,016bc42e-c044-3a36-8bbf-5db79d89585b,Barstool,Chair
132,017779ff-603f-42e5-828b-283eade97439,Three-Seat / Multi-seat Sofa,Sofa
133,017e5119-b882-45b6-8d38-c412c441c328,Dining Table,Table
134,01801792-d4b6-4219-902b-8d203e297c70,Loveseat Sofa,Sofa
135,01820211-5dd3-4f80-8e52-f7eda3ae930e,TV Stand,Cabinet/Shelf/Desk
136,01839053-f5e1-4165-b492-85836be84194,Lounge Chair / Cafe Chair / Office Chair,Chair
137,0188e055-34ac-48e5-ae53-3489fbc47328,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
138,01899124-9a73-4a42-bee2-ba55f6efb8f3,Barstool,Chair
139,018bc154-9b1d-4095-b59a-3748266f54d7,Bed Frame,Bed
140,018cf659-b7a0-47cc-8490-27e3e00ed483,King-size Bed,Bed
141,018fc0ee-f00c-4e6f-8394-3f556f1aca98,,Others
142,019688cb-a0fa-4dbd-8a67-e5dde192e8cf,Corner/Side Table,Cabinet/Shelf/Desk
143,01971013-5871-4439-b228-5ef4425141eb,Pendant Lamp,Lighting
144,019c82d8-1522-49ca-bf38-b09e55a063e3,Footstool / Sofastool / Bed End Stool / Stool,Pier/Stool
145,019ecfc9-500d-45b4-869d-958f41905ba2,Dining Chair,Chair
146,01a3b433-9b76-4b6e-8f36-4dbae4f6338a,Shoe Cabinet,Cabinet/Shelf/Desk
147,01b981b1-82ce-45cc-8602-a49569ec8e0e,Loveseat Sofa,Sofa
148,01c051c4-9cbe-48d5-b8cd-7e932ddb4a85,Pendant Lamp,Lighting
149,01c32920-6010-4661-b8a1-745eef81e225,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
150,01c82c34-119d-4401-b403-44d0e2aba10f,Lounge Chair / Cafe Chair / Office Chair,Chair
151,01ccb00d-2cc9-464e-a250-42adbf4eb646,Coffee Table,Cabinet/Shelf/Desk
152,01d33473-8e60-4d3e-aeb9-345d6b08cab4,Three-Seat / Multi-person sofa,Sofa
153,01dbfbe9-8648-49bc-9e9c-edb5e631c566,Dining Chair,Chair
154,01dc4d95-41d5-4602-a099-10a1ede9303c,Wardrobe,Cabinet/Shelf/Desk
155,01dd14a2-922a-4f8f-b762-81a29e2de200,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
156,01dd4fe2-4d8f-4aa3-85e6-dad2af7ec744,Corner/Side Table,Cabinet/Shelf/Desk
157,01ddee89-26d2-48e5-a413-959b26472bcf,Sideboard / Side Cabinet / Console Table,Cabinet/Shelf/Desk
158,01dfc00c-638a-4890-8788-ccd35e567602,Corner/Side Table,Cabinet/Shelf/Desk
159,01e2dd49-dbbd-3bc4-84f2-ebeef1447f55,Barstool,Chair
160,01e96e4a-2d27-4c48-8135-9a673056a1e6,,Others
161,01ed86b1-ced4-4912-ad00-bc6f577b0d2f,Ceiling Lamp,Lighting
162,01efd00d-e214-43f4-b2e9-2c288d677aed,Three-Seat / Multi-seat Sofa,Sofa
163,01f5b5f8-dc11-4294-a28f-136f4206d022,Children Cabinet,Cabinet/Shelf/Desk
164,01f5d6fd-fe85-41e5-ba06-7dc66f28fbbe,Dressing Chair,Chair
165,01fdf241-67bb-482c-844c-61e261b8d484,Pendant Lamp,Lighting
166,01fdfcaf-beb5-4fc0-af71-bfa501969aa8,,Others
167,01fe3767-6f21-49cf-b8da-e16b53267dc8,Dining Chair,Chair
168,020186ad-8a54-3b21-9fca-ac8e5cd18b67,Barstool,Chair
169,020238c3-1401-433f-91dc-4bd1936a4cc4,Corner/Side Table,Cabinet/Shelf/Desk
170,02048b39-096a-454b-82d8-26a1c323b8ac,armchair,Sofa
171,02057cc8-a1d0-43bf-b8b8-3e1a8aacfe95,Pendant Lamp,Lighting
172,0207d0ca-ddda-3740-a866-8031de2f2ad8,Dining Table,Table
173,020a1fca-7ebf-46e7-9fd5-72651f2ada81,Nightstand,Cabinet/Shelf/Desk
174,020aa1aa-426d-4b52-85cf-fe05cc0b53ab,Barstool,Chair
175,020e593a-4002-4be1-9c37-183aacefdcf1,,Others
176,020e7a6d-d655-449f-b048-9054d00d0994,Three-Seat / Multi-seat Sofa,Sofa
177,02133f42-f8b1-4b10-9fe2-dec9a0bd1325,Double Bed,Bed
178,02184d48-ffc2-400b-9a97-dcfd3461dee5,Dressing Table,Table
179,02190a8e-1841-4b11-80b0-c9c5e6e6ca01,Bed Frame,Bed
180,021998d6-2d2d-40d4-ba50-888a0bda1ca4,armchair,Sofa
181,021a2836-75da-4cee-8496-4f5d82317be9,Dining Table,Table
182,021b6af9-a974-4f7a-bf46-e2e33615e733,Loveseat Sofa,Sofa
183,0220bd66-882a-4f00-9009-f5788caeab72,TV Stand,Cabinet/Shelf/Desk
184,022378be-f0d1-431f-b4b1-0f75f0c4397f,Three-Seat / Multi-seat Sofa,Sofa
185,0223c3f7-887d-4093-bb72-7547fc7fccac,Sideboard / Side Cabinet / Console Table,Cabinet/Shelf/Desk
186,02250622-9b86-436d-9709-e27542a7bd66,Lounge Chair / Cafe Chair / Office Chair,Chair
187,02257385-803f-4d93-b4f6-156ae1c5b8fa,Lounge Chair / Cafe Chair / Office Chair,Chair
188,022752c5-25f8-4cd4-af6d-c593465f8ad9,Coffee Table,Cabinet/Shelf/Desk
189,022895dd-19c5-46ee-8de6-f2ba11b68c57,Nightstand,Cabinet/Shelf/Desk
190,022cf426-77dd-4300-8fef-3d256991ad61,Three-Seat / Multi-seat Sofa,Sofa
191,022e3919-207c-437a-b4ae-e56359c0ea5a,Dining Table,Table
192,02329346-dbc8-45b5-a992-6c3c861f14d5,Wine Cooler,Cabinet/Shelf/Desk
193,023d074c-d94a-4d9c-b861-7043a259d04f,Pendant Lamp,Lighting
194,023dd6cc-ca41-4f4c-82f8-67737acd2675,Loveseat Sofa,Sofa
195,024ee5bd-f5b5-4c2c-8c6e-ab6673c28faa,Wardrobe,Cabinet/Shelf/Desk
196,025336c8-61ba-4cb9-b844-a67ae7d553ff,Lounge Chair / Cafe Chair / Office Chair,Chair
197,025544db-5680-4faa-9459-1a7b03a8f299,Children Cabinet,Cabinet/Shelf/Desk
198,025a63d5-0600-4101-8252-b6318f938695,King-size Bed,Bed
199,025c16c8-6ce7-4eb5-8817-2f299f4bad84,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
200,02614c5c-810e-42c8-911b-6c0d35e88a18,,Others
201,0266e4a3-26e6-44a0-8259-f5d05befe81c,Three-Seat / Multi-seat Sofa,Sofa
202,026af98a-e9fb-436e-8a75-dd6c3e98b07f,Dressing Table,Table
203,026b3a27-85f5-4061-9991-7d6182ad8861,Corner/Side Table,Cabinet/Shelf/Desk
204,026c0749-dc3a-48e3-8c43-60e5447bedbb,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
205,026d4902-3efb-4d3e-a5f8-dfc7998df47b,armchair,Sofa
206,0271ee09-252a-4542-b363-d7ba9b83d38e,Pendant Lamp,Lighting
207,028321de-918c-45d3-bb08-e499bf9a1c49,Coffee Table,Cabinet/Shelf/Desk
208,02859936-a048-47cb-a157-f41f2da9826f,armchair,Sofa
209,028831c2-c547-4adb-b6e9-85e0683dd2b6,Sideboard / Side Cabinet / Console,Cabinet/Shelf/Desk
210,0290a7c0-9ef3-4cb9-bdce-229f8d57c80d,TV Stand,Cabinet/Shelf/Desk
211,02970dfb-ec72-49a1-ae76-93146fd14e7e,Coffee Table,Cabinet/Shelf/Desk
212,029d0231-a5c8-403f-93d4-790cd153d2f9,Nightstand,Cabinet/Shelf/Desk
213,02a2edbf-ca38-4faa-874c-ac0e46b3d81d,Floor Lamp,Lighting
214,02a64bc1-70d6-4da7-98c8-19038cfe95ec,Wardrobe,Cabinet/Shelf/Desk
215,02ab9d20-ee01-40b3-b3bc-9bdcc066d382,Coffee Table,Cabinet/Shelf/Desk
216,02abb1b9-9644-4881-979d-98db21733616,Bunk Bed,Bed
217,02b26e96-d260-34b5-86c5-ee000e395642,Dining Table,Table
218,02b5ff73-9a6d-4aa9-994c-1355acce88d2,Corner/Side Table,Cabinet/Shelf/Desk
219,02b8f6a3-9abb-4d3d-8950-8b7a7c81b40e,Sideboard / Side Cabinet / Console Table,Cabinet/Shelf/Desk
220,02bb6c69-603c-4d60-ab2d-1c4f129acca2,Corner/Side Table,Cabinet/Shelf/Desk
221,02bfd47f-1ca7-4ae4-b430-58caf73cc4a3,Footstool / Sofastool / Bed End Stool / Stool,Pier/Stool
222,02c185b1-4389-47d1-a14a-922e8710c998,Floor Lamp,Lighting
223,02c42ff4-8c7b-4eb1-97e2-b40ed18b02eb,Wardrobe,Cabinet/Shelf/Desk
224,02c605ad-1969-4193-ba95-5e770133ab4b,Lounge Chair / Book-chair / Computer Chair,Chair
225,02ca8be6-bd56-4978-8d94-a49dc559d60f,Corner/Side Table,Cabinet/Shelf/Desk
226,02cc7cc5-6e9e-4516-89fa-e9028570531d,Three-Seat / Multi-seat Sofa,Sofa
227,02d0e301-c53f-41fc-b7d3-49d1f4a27610,Floor Lamp,Lighting
228,02d15e1b-09d5-425c-8323-0a423f655615,Dressing Chair,Chair
229,02dabe94-29fe-4f44-a7b0-8d12b6281806,King-size Bed,Bed
230,02e29d12-b9b5-459a-be1e-5b9c7db90940,Corner/Side Table,Cabinet/Shelf/Desk
231,02e6a504-6ad4-4d29-a9ba-1d531a900e53,Drawer Chest / Corner cabinet,Cabinet/Shelf/Desk
232,02ec0930-bb00-43a8-b10a-75e78493ae5f,,Others
233,02ec9206-7267-45c2-9fa7-2f738586542f,Coffee Table,Cabinet/Shelf/Desk
234,02ee277f-5c0e-42d9-8174-34a6205a3ef5,Sideboard / Side Cabinet / Console Table,Cabinet/Shelf/Desk
235,02f2661b-f392-4faf-8f9c-5b52f9d497b5,,Others
236,02f2de57-d296-44f3-b2bf-dd56f7ebffb9,Bed Frame,Bed
237,02f7c147-a104-47a2-b8a0-438231c0a254,Footstool / Sofastool / Bed End Stool / Stool,Pier/Stool
238,02f82ac8-f8a3-4220-831e-f6d231cd3dfb,King-size Bed,Bed
239,02ffddd9-2746-4cae-8676-82eb2e5bf3ae,Three-Seat / Multi-seat Sofa,Sofa
240,03051836-f41b-4fb5-88d9-de7fd5ae86b7,Barstool,Chair
241,03061344-a456-45b8-995a-123bacfbeb33,Desk,Table
242,03085683-3508-4e31-8cc1-c27f0d65eea9,,Others
243,030ae38a-67b0-4936-ad29-d3b9d13bf055,L-shaped Sofa,Sofa
244,0311b280-2ba9-47ff-a09a-af573deb74ab,Pendant Lamp,Lighting
245,0312fba3-cf31-4e4d-b6b2-3d9967750577,Nightstand,Cabinet/Shelf/Desk
246,0313fd95-4eb9-4045-a688-c4ecb872f64e,Footstool / Sofastool / Bed End Stool / Stool,Pier/Stool
247,0317d47f-10e5-412d-bb8a-8000965052fa,Pendant Lamp,Lighting
248,0319e2eb-8b39-40e6-81cf-4b8e4cde6fa7,Corner/Side Table,Cabinet/Shelf/Desk
249,031e135c-7937-449d-bfba-fa29f991c535,Footstool / Sofastool / Bed End Stool / Stool,Sofa
250,0327502e-993e-42f4-a9d3-85593c561ae7,Nightstand,Cabinet/Shelf/Desk
251,0328c7a4-560f-416b-8207-3bd7519659e0,Three-Seat / Multi-seat Sofa,Sofa
252,032c235f-47b4-4827-a9d8-77230cbffd1c,Wardrobe,Cabinet/Shelf/Desk
253,032f82f5-ffc8-4240-9545-ec5311eaf01b,Corner/Side Table,Cabinet/Shelf/Desk
254,03312b51-719b-4f64-b130-798301de5212,armchair,Sofa
255,03324866-9cfd-4b45-8142-f009f2c0b4c2,Desk,Table
256,033280d4-d766-4edf-b499-6c1c1c402c50,Wardrobe,Cabinet/Shelf/Desk
257,03329697-7726-41f8-948f-9607d0c61fac,Sideboard / Side Cabinet / Console Table,Cabinet/Shelf/Desk
258,0332fbf1-d55f-4af3-8782-71719b104a02,,Others
259,03370373-5e38-43f0-8133-07fecdd6159d,Corner/Side Table,Cabinet/Shelf/Desk
260,03375fab-55d8-48da-85dc-4d3876da4f67,Bookcase / jewelry Armoire,Cabinet/Shelf/Desk
261,03389e6b-2555-41c4-9b75-08e6b7629f0b,Floor Lamp,Lighting
262,0341017f-2ac9-4c62-b651-94033bddc451,Ceiling Lamp,Lighting
263,0346aa62-81e0-48c6-87b6-f9b6c26e50f8,,Others
264,0346e668-f921-463e-9d3f-d1f640586138,Bookcase / jewelry Armoire,Cabinet/Shelf/Desk
265,0348af16-8e33-4673-9f88-a1bbf652b3cf,Loveseat Sofa,Sofa
266,0350d24b-1074-4035-a2f3-a12551cd46d1,Children Cabinet,Cabinet/Shelf/Desk
267,0353b780-27c1-42eb-8544-212c32c1afb3,Pendant Lamp,Lighting
268,03608677-5363-4a95-ba5c-a7a0b112db56,Wardrobe,Cabinet/Shelf/Desk
269,0362358f-6fe9-4afa-9b4d-d067eacb67ff,Double Bed,Bed
270,036460a8-4801-4d73-8e7f-39771c8ddcd7,Pendant Lamp,Lighting
271,03669aed-7a95-43cb-888f-6cbc2efd2df5,Pendant Lamp,Lighting
272,036f162a-6fbc-4fd5-837e-74341b8cb980,Ceiling Lamp,Lighting
273,03770ec4-e0e5-4398-85ec-897c234d710c,Pendant Lamp,Lighting
274,03782436-0e27-4544-acab-a3801a2ce3e4,,Others
275,037c739f-4653-41d5-936e-d1d7102bccb0,Lounge Chair / Cafe Chair / Office Chair,Chair
276,03802a6e-f815-4eb7-b494-3cc108ffbbfe,Dining Table,Table
277,03862bca-2975-4ebd-9a41-e02bf76fc7c0,Nightstand,Cabinet/Shelf/Desk
278,038b62bb-b277-4d92-8afe-3ff115add02c,Loveseat Sofa,Sofa
279,0390c982-80fd-4c61-a3b7-e12ae99f6008,Ceiling Lamp,Lighting
280,0392b679-bd37-41dd-a133-4a63b5b1b0bc,Dining Chair,Chair
281,03949e26-c747-4b71-8fb1-2799a07171b5,Three-Seat / Multi-seat Sofa,Sofa
282,03950c96-b39a-4440-a8de-846923c8a84d,armchair,Sofa
283,039a62e2-6a6c-498a-8ee4-0bb99ea5cdec,Footstool / Sofastool / Bed End Stool / Stool,Pier/Stool
284,03a33ab0-188b-47b6-8a4d-44e428670846,Three-Seat / Multi-seat Sofa,Sofa
285,03a586ae-5555-4244-b756-3fda0d09d91a,Sideboard / Side Cabinet / Console Table,Cabinet/Shelf/Desk
286,03a8f97d-84f7-3f92-9511-cbe4fa4afbed,Dining Chair,Chair
287,03aef343-b8a7-4beb-a2a5-d58a07761d3f,Lounge Chair / Cafe Chair / Office Chair,Chair
288,03b036e6-e967-4525-8802-8fb57cb2dbc4,Lounge Chair / Cafe Chair / Office Chair,Chair
289,03b201b3-3fd5-4b0c-9e59-96d75e6934ec,Three-Seat / Multi-seat Sofa,Sofa
290,03b38596-6d60-4cba-83f9-ebafda09dfba,,Others
291,03b5368e-9fec-30f5-941f-14906c0eb532,Dining Table,Table
292,03b5972a-0507-478e-9448-4028c37c774b,,Others
293,03bf30fd-4490-47b4-8bfd-5ab8475390fa,L-shaped Sofa,Sofa
294,03c08b62-1072-4a3e-a728-41bc4e300da2,Sideboard / Side Cabinet / Console,Cabinet/Shelf/Desk
295,03c297d3-c451-3ae2-b310-cf4d493a6a3a,Dining Chair,Chair
296,03c4ad94-9507-4bcf-a90a-67f867db2111,Bed Frame,Bed
297,03c5b67c-bdad-4a8a-9cc6-04f329115fa0,Pendant Lamp,Lighting
298,03c5b770-04d1-421c-960e-ff46a9f3a8cd,Coffee Table,Cabinet/Shelf/Desk
299,03c65523-3de4-4b8e-ba15-129462e9be78,Three-Seat / Multi-seat Sofa,Sofa
300,03ca78e6-7f5a-47d5-b956-b8ae08730b2f,TV Stand,Cabinet/Shelf/Desk
