id,front,nmaterials,minPoint,maxPoint,aligned.dims,index
004cb907-b124-423f-9062-163bf992693a,"0, 0, 1",0,"-1.27627,0.,-0.475861","1.277976,0.917561,0.475831","255.4246,91.7561,95.1692",27
0050f47f-0d3e-46c7-8a0d-47a16b524e96,"0, 0, 1",0,"-1.24996e+00,-7.30000e-05,-4.99971e-01","1.24994,0.761852,0.500008","249.99,76.1925,99.9979",28
00555cec-c448-4f9b-94a3-5ee009ead775,"0, 0, 1",0,"-0.996928,0.,-0.239279","0.996928,0.419282,0.239279","199.3856,41.9282,47.8558",29
00585bed-3c7b-495a-838e-ff0c35cb03e6,"0, 0, 1",0,"-0.717236,0.,-1.11624","0.717236,1.05431,1.11573","143.4472,105.431,223.197",30
0058c439-768f-4553-9990-557954f0e4c3,"0, 0, 1",0,"-0.601831,0.,-0.59951","0.601831,0.470001,0.59951","120.3662,47.0001,119.902",31
00593873-bfa3-4cab-8efe-3528312a6257,"0, 0, 1",0,"-1.497557,-0.,-0.360574","1.497379,0.630052,0.360574","299.4936,63.0052,72.1148",32
005bafee-92c1-41db-ac9b-dab97ef3756f,"0, 0, 1",0,"-1.17630e+00,-2.62000e-04,-4.80329e-01","1.17263,0.876303,0.481815","234.893,87.6565,96.2144",33
00657f14-391a-4a85-8d2d-c94cbd1762d7,"0, 0, 1",0,"-2.29001e+02,-2.44141e-05,-1.08000e+02","229.001,290.,108.","45800.2,29000.00244141,21600.",34
00661c5b-bb1e-49ca-a5c2-480dbe12a344,"0, 0, 1",0,"-0.210039,0.,-0.21","0.210039,0.677725,0.21","42.0078,67.7725,42.",35
00680be9-2ac0-4a4c-ba1a-528be9f0a15b,"0, 0, 1",0,"-0.502996,0.,-0.502778","0.502707,0.269347,0.502491","100.5703,26.9347,100.5269",36
006a08bb-914c-49b9-93ed-4de256ae74c2,"0, 0, 1",0,"-0.65119,0.,-0.200195","0.651211,0.745564,0.200173","130.2401,74.5564,40.0368",37
006c6db0-1477-4340-9163-d08a6cf72738,"0, 0, 1",0,"-0.734678,0.,-0.265182","0.734678,1.69916,0.265182","146.9356,169.916,53.0364",38
006cb2b3-e9e3-34e3-9a0e-f93fa04f344b,"0, 0, 1",0,"-5.84200e-01,3.81000e-04,-5.86452e-01","0.5842,0.858059,0.586452","116.84,85.7678,117.2904",39
006f9cee-42d9-49ae-bd2c-b790f96a404a,"0, 0, 1",0,"-4.18344e-01,-1.70000e-05,-4.59000e-01","0.418344,1.45572,0.459034",",83.6688,145.5737,91.8034",40
00733bff-2a40-4e15-aa5e-89f3b277c9a1,"0, 0, 1",0,"-1.20267e+02,-3.35693e-05,-2.72510e+01","120.264,103.861,27.251","24053.1,10386.10335693,5450.2",41
007498dc-954a-4ddc-b318-164b7e4dfefc,"0, 0, 1",0,"-1.346080e+00,1.122000e-03,-1.327175e+00","1.344087,1.272041,1.327295","269.0167,127.0919,265.447",42
0074c049-c0d7-46e0-835a-bcae2416b859,"0, 0, 1",0,"-0.843939,0.,-0.961589","0.842603,1.16347,0.961996","168.6542,116.347,192.3585",43
00754f96-5380-429c-9a20-50b67d8a51f0,"0, 0, 1",0,"-0.408066,0.,-0.414134","0.408066,0.861835,0.414125","81.6132,86.1835,82.8259",44
0075c272-7659-4f43-89f5-8589d2036930,"0, 0, 1",0,"-0.937919,0.,-1.152076","0.938381,1.472617,1.150914","187.63,147.2617,230.299",45
0076eaf7-105e-4df1-b6d0-d0d5fd15f576,"0, 0, 1",0,"-1.1532,-0.,-0.429878","1.15615,0.777223,0.429603","230.935,77.7223,85.9481",46
00775a07-b5c9-4020-94c7-2cd698d668f6,"0, 0, 1",0,"-0.2183,0.,-0.238331","0.2183,0.915742,0.238331","43.66,91.5742,47.6662",47
00777e3d-1a47-4193-ad13-43e8881ca6b8,"0, 0, 1",0,"-1.23556e+00,-4.30000e-04,-1.13285e+00","1.23557,1.44752,1.13218","247.113,144.795,226.503",48
007a52b4-27db-4430-b754-4fc5f254e917,"0, 0, 1",0,"-0.882902,-0.,-0.356955","0.882902,0.928921,0.356955","176.5804,92.8921,71.391",49
007d0585-9b54-4918-87f0-38da23ddecd2,"0, 0, 1",0,"-0.425634,-0.,-0.442189","0.425681,0.83448,0.442153","85.1315,83.448,88.4342",50
008302cb-ff00-4f22-b076-044493a051a2,"0, 0, 1",0,"-0.680092,-0.,-0.454911","0.680092,0.456627,0.454911","136.0184,45.6627,90.9822",51
00859a4c-8945-4665-92e5-69ab8fba6593,"0, 0, 1",0,"-0.910871,-0.,-0.378201","0.910871,0.716037,0.378126","182.1742,71.6037,75.6327",52
00883cfc-9ec8-4494-bc40-6c768d4ed9d9,"0, 0, 1",0,"-0.262072,0.,-0.287536","0.262072,0.967505,0.287593","52.4144,96.7505,57.5129",53
008d88ef-c902-45e7-ab69-803b223779b9,"0, 0, 1",0,"-4.54784e-01,-7.80000e-05,-4.55848e-01","0.454851,1.02232,0.454763",",90.9635,102.2398,91.0611",54
008f2d76-72df-4595-ada4-a653b68a18c4,"0, 0, 1",0,"-30.0415,0.,-30.7392",",30.0415,165.9113,30.7392",",6008.3,16591.13,6147.84",55
0090501f-8484-44b8-9f53-9f6ecbbe73a4,"0, 0, 1",0,"-4.60273e-01,-1.61000e-04,-4.18146e-01","0.459982,0.932725,0.417663","92.0255,93.2886,83.5809",56
009070c8-1246-4d65-8133-27cde12e274e,"0, 0, 1",0,"-0.846919,0.,-0.211501","0.84717,1.897189,0.2115","169.4089,189.7189,42.3001",57
009ac457-0558-494c-bffa-72c4c0960649,"0, 0, 1",0,"-0.773308,-0.,-0.447397","0.773308,0.624114,0.447397","154.6616,62.4114,89.4794",58
009dc710-856c-4d59-b6bf-38a32a6241b5,"0, 0, 1",0,"-1.05158e+00,-1.56000e-04,-1.12829e+00","1.05158,1.40792,1.13055","210.316,140.8076,225.884",59
00a91a81-fc73-4625-8298-06ecd55b6aaa,"0, 0, 1",0,"-4.28695e-01,7.30000e-05,-4.53494e-01","0.428467,0.927425,0.453377","85.7162,92.7352,90.6871",60
00ac04ff-59b1-40f1-a95a-f1f6e61a6de6,"0, 0, 1",0,"-9.69822e-01,-5.53000e-04,-1.26167e+00","0.9695,1.06724,1.26319","193.9322,106.7793,252.486",61
00acb313-c507-4372-addf-508755c6e98b,"0, 0, 1",0,"-0.806544,0.,-0.991829","0.806533,0.939817,0.989106","161.3077,93.9817,198.0935",62
00b8fe1c-2ba0-4a25-a7d8-44e278cd9f7d,"0, 0, 1",0,"-1.583966e+00,1.307000e-03,-5.614830e-01","1.586297,0.978592,0.560462","317.0263,97.7285,112.1945",63
00bba3f0-b5f2-45b7-babe-662832bab6b0,"0, 0, 1",0,"-2.78222e+01,1.09974e-02,-2.78297e+01","27.8222,10.7038,27.8297","5564.44,1069.28026,5565.94",64
00c0cffb-dcf2-4a2d-86d0-9d4072d5f449,"0, 0, 1",0,"-1.10532,0.,-0.532804","1.105319,0.980657,0.532804","221.0639,98.0657,106.5608",65
00c0ed18-9131-41f1-976e-52a8be0a0a21,"0, 0, 1",0,"-1.04011,0.,-0.296229","1.04011,2.40998,0.295989","208.022,240.998,59.2218",66
00c43d91-9332-434c-8170-1ad77f5f2051,"0, 0, 1",0,"-0.53089,0.,-0.758067","0.53089,0.460003,0.758067","106.178,46.0003,151.6134",67
00c90f7e-2b91-44e7-86f0-0fa00268e63b,"0, 0, 1",0,"-1.302552e+00,6.900000e-05,-5.024070e-01","1.30246,0.854304,0.502113","260.5012,85.4235,100.452",68
00c9b87e-defe-4f6e-91a9-e7e21a4e6497,"0, 0, 1",0,"-1.09913e+00,-5.36000e-04,-2.36152e-01","1.09913,2.1002,0.236402","219.826,210.0736,47.2554",69
00ca8dc6-a866-4645-a349-5d64b571ba2c,"0, 0, 1",0,"-1.95066e+01,-5.56260e-04,-1.70002e+01","19.5038,67.4283,17.031","3901.04,6742.885626,3403.12",70
00cb55ad-9b15-4263-82a9-0016b00dbcfa,"0, 0, 1",0,"-35.1365,0.,-32.6886",",35.1365,149.4194,32.6886",",7027.3,14941.94,6537.72",71
00ceae85-1f3b-471d-87ab-60672115b82f,"0, 0, 1",0,"-4.79526e-01,-4.74000e-04,-4.85426e-01","0.479508,0.895643,0.485422","95.9034,89.6117,97.0848",72
00d18dbc-beee-44a4-bc5c-5f9f5c51bba8,"0, 0, 1",0,"-7.10000e+01,-3.23418e-02,-1.98053e+01",",71.,146.582,19.8274","14200.,14661.43418,3963.27",73
00d3bb54-cfd7-4a09-99c9-611fbd3e96cb,"0, 0, 1",0,"-2.23768e+01,5.87006e-03,-2.49380e+01","22.3768,29.2676,24.9543","4475.36,2926.172994,4989.23",74
00d778e1-69ff-4165-b026-ba56d74b46ac,"0, 0, 1",0,"-1.63635e+00,-1.83000e-04,-1.31623e+00","1.63706,0.945177,1.31772","327.341,94.536,263.395",75
00d8b27e-4e05-47a8-b191-519aaed28575,"0, 0, 1",0,"-1.970569,-0.,-0.5653","1.970728,1.034604,0.56529","394.1297,103.4604,113.059",76
00d8b611-0950-4bf4-8087-89d472c9aa9f,"0, 0, 1",0,"-4.88910e-01,1.45000e-04,-4.49185e-01","0.48902,0.830957,0.449416","97.793,83.0812,89.8601",77
00da6e71-e633-480c-9102-5e1f5423cf5d,"0, 0, 1",0,"-0.134052,-0.,-0.134344","0.13422,1.59497,0.134086",",26.8272,159.497,26.843",78
00dd3e56-a852-43fe-b5e1-b9ba98772755,"0, 0, 1",0,"-0.836878,-0.,-0.246878","0.836878,2.27,0.246878","167.3756,227.,49.3756",79
00e0d0a7-762f-414d-8222-33363337ab5d,"0, 0, 1",0,"-1.54540e+01,-2.48444e-03,-1.54600e+01","15.4528,89.7573,15.4594","3090.68,8975.978444,3091.94",80
00e2173a-9048-3ee9-b02c-86fb88b14ad4,"0, 0, 1",0,"-1.553974,0.,-0.793712","1.516509,0.916227,0.853531","307.0483,91.6227,164.7243",81
00e371c6-da47-429e-b0cd-2ba243912ee8,"0, 0, 1",0,"-1.51494,0.,-1.01406","1.51579,0.819045,1.01453","303.073,81.9045,202.859",82
00e4b7dd-08a6-4433-a439-856e4b5de58a,"0, 0, 1",0,"-58.4977,0.,-16.0601","58.4977,75.8619,16.0601","11699.54,7586.19,3212.02",83
00e7d768-e295-4fbe-8f34-b193f66c98b7,"0, 0, 1",0,"-6.0000e+01,-1.2207e-05,-2.5000e+01",",60.,109.996,25.","12000.,10999.6012207,5000.",84
00e8f74b-58dc-4967-92f0-2829900f9e49,"0, 0, 1",0,"-60.64,0.,-60.6698",",60.64,201.0627,60.6698","12128.,20106.27,12133.96",85
00ea37e5-e81f-42ec-a339-69d5f5ecb10f,"0, 0, 1",0,"-16.3076,0.,-6.52095",",16.3076,150.667,6.52095",",3261.52,15066.7,1304.19",86
00ead034-61fb-4c99-abe3-f4180acdb575,"0, 0, 1",0,"-1.92015e+01,1.10626e-05,-1.47539e+01",",19.1793,226.131,14.7742",",3838.08,22613.09889374,2952.81",87
00ec4eee-6cb2-415b-ab42-23b92e077cb6,"0, 0, 1",0,"-0.445558,0.,-0.499375","0.445558,0.887993,0.499375","89.1116,88.7993,99.875",88
00f5aa82-1cc6-4049-96fd-903492344e38,"0, 0, 1",0,"-0.409978,-0.000742,-0.409014","0.409978,0.094286,0.409014","81.9956,9.5028,81.8028",89
00f6e325-269e-42d9-a377-e7a4b041490a,"0, 0, 1",0,"-1.73476e+01,7.62939e-06,-1.79203e+01","17.3659,46.0673,17.9163","3471.35,4606.72923706,3583.66",90
00f8a72c-50ff-432e-89ef-66601a0ff073,"0, 0, 1",0,"-43.9763,0.,-44.4914","43.9763,76.621,44.4914","8795.26,7662.1,8898.28",91
00fbb26f-13cf-4916-a8b0-f6241482abb4,"0, 0, 1",0,"-1.098694,0.,-0.448543","1.098693,0.779538,0.44827","219.7387,77.9538,89.6813",92
00fe956b-131d-40fb-a3e3-483a9f157a40,"0, 0, 1",0,"-1.1,0.,-0.105","1.1,1.8,0.105","220.,180.,21.",93
01005129-1184-48a3-9aa3-aa6d83793a0a,"0, 0, 1",0,"-9.45457e-01,-9.12000e-04,-1.15848e+00","1.06548,1.26839,1.15937","201.0937,126.9302,231.785",94
010ba52b-1ce5-42a8-ac1e-d72b0b76e219,"0, 0, 1",0,"-15.9239,0.,-58.2468",",15.9239,148.6881,58.2468",",3184.78,14868.81,11649.36",95
01112e86-0c65-4693-a531-e57dfd08aaf8,"0, 0, 1",0,"-1.399488,-0.,-0.524579","1.399592,0.891818,0.524579","279.908,89.1818,104.9158",96
0115036f-8abc-4cc5-99a3-d8607500d213,"0, 0, 1",0,"-1.21686,-0.00162,-0.713589","1.21686,1.97839,0.713269","243.372,198.001,142.6858",97
011741b3-f906-4884-8daf-da72ec809d5e,"0, 0, 1",0,"-1.11212e+00,-1.20000e-05,-4.84786e-01","1.1116,0.860469,0.485435","222.372,86.0481,97.0221",98
0118e76e-26d6-402b-8d37-6aa00b1138c8,"0, 0, 1",0,"-0.884701,0.,-0.066168","0.884252,0.939918,0.066104","176.8953,93.9918,13.2272",99
011a0370-fe70-404e-b61c-15057a3a98c5,"0, 0, 1",0,"-0.622775,0.,-0.312082","0.622775,2.29863,0.312082","124.555,229.863,62.4164",100
011afb7f-28ef-4e7c-8f93-bd30ce993dd6,"0, 0, 1",0,"-3.69279e+01,-2.01721e-03,-4.27533e+01","36.9258,69.5076,42.7489","7385.37,6950.961721,8550.22",101
011b01ee-dd87-451d-96a4-d4b8b1af5a3d,"0, 0, 1",0,"-24.1286,0.,-24.9956","24.1286,52.1568,24.9956","4825.72,5215.68,4999.12",102
01244633-0eab-43c7-af22-aab45596262c,"0, 0, 1",0,"-3.78446e-01,1.10000e-05,-6.48151e-01","0.421915,0.708878,0.648151",",80.0361,70.8867,129.6302",103
0125c477-4efc-3cbc-8422-0f80b7de9eb0,"0, 0, 1",0,"-65.5806,0.,-65.5806","65.5806,74.0467,65.5806","13116.12,7404.67,13116.12",104
012679e2-1597-4fc0-93e0-62206617fb31,"0, 0, 1",0,"-1.13,-0.,-0.297053","1.13,2.4,0.297053","226.,240.,59.4106",105
01272df2-2132-4e1a-a2cf-8978fac5949e,"0, 0, 1",0,"-43.0983,-0.127738,-94.1503","43.0158,77.1374,94.1086",",8611.41,7726.5138,18825.89",106
0128706c-a595-405b-a9ce-47d89847bf28,"0, 0, 1",0,"-16.5707,0.,-16.5534",",16.5707,180.0381,16.5534",",3314.14,18003.81,3310.68",107
012ce7a5-9c00-4af2-b293-cb54c42cfe80,"0, 0, 1",0,"-0.808858,0.,-0.253395","0.808858,0.654378,0.253395","161.7716,65.4378,50.679",108
0130438f-1e1c-429e-8cad-b3a16eb00c96,"0, 0, 1",0,"-1.26459e+00,-1.69000e-04,-4.45375e-01","1.26459,0.729509,0.446236","252.918,72.9678,89.1611",109
013207f3-b388-4335-b2b1-a91dd49be349,"0, 0, 1",0,"-0.197488,0.,-0.209054","0.197488,0.700317,0.209025","39.4976,70.0317,41.8079",110
013b4248-7d05-4452-8aed-118a4195872e,"0, 0, 1",0,"-55.,0.,-17.5","55.,75.0001,17.5","11000.,7500.01,3500.",111
013b91c9-b8d8-3ba2-9663-1912fbb240c3,"0, 0, 1",0,"-53.1377,0.,-53.1931","53.5423,73.66,53.4869","10668.,7366.,10668.",112
013d456c-e96d-47fd-ae84-c0ed76491e2d,"0, 0, 1",0,"-114.754,0.,-30.6262","114.754,220.286,30.474","22950.8,22028.6,6110.02",113
013e03b1-98e4-417c-9609-b132c92094fb,"0, 0, 1",0,"-1.22899e+00,-2.50000e-05,-4.69594e-01","1.2291,0.679848,0.468775","245.809,67.9873,93.8369",114
013f235f-1034-4476-8b32-7282d4822b1f,"0, 0, 1",0,"-9.62653e-01,-7.70000e-05,-3.79844e-01","0.962693,0.752812,0.379844","192.5346,75.2889,75.9688",115
014813da-7bfb-438f-93e6-dad1ab34ae55,"0, 0, 1",0,"-0.303025,-0.,-0.331811","0.303037,0.912408,0.331927","60.6062,91.2408,66.3738",116
01482e2c-b64c-4e31-866c-cbdebe08d5d5,"0, 0, 1",0,"-0.296357,0.,-0.296428","0.29621,0.651486,0.296357","59.2567,65.1486,59.2785",117
014ab495-1a3d-38ab-92a3-e56480d2bc69,"0, 0, 1",0,"-0.296877,0.00051,-0.2795","0.296879,0.872305,0.2795","59.3756,87.1795,55.9",118
01519e3f-6a69-4f66-9e5f-2b54894ca901,"0, 0, 1",0,"-1.20743e+00,-4.60000e-05,-4.06061e-01","1.20747,0.765224,0.405988","241.49,76.527,81.2049",119
01531f9d-1dd4-4fbd-aad3-3ec4bf305ec8,"0, 0, 1",0,"-17.1308,0.,-16.4158","17.1308,47.3117,16.4158","3426.16,4731.17,3283.16",120
0154b34b-cbbc-4ed4-8eec-04468a0f7e05,"0, 0, 1",0,"-1.,0.,-0.328531","1.,2.364,0.328542","200.,236.4,65.7073",121
0157cd98-fa1d-4009-b7d6-85fbc44a6eba,"0, 0, 1",0,"-0.778359,0.,-0.24943","0.778359,0.496083,0.24943","155.6718,49.6083,49.886",122
0158dc1f-f6f4-49eb-98db-ceee9c737a74,"0, 0, 1",0,"-5.79721e-01,-5.50000e-05,-5.79683e-01","0.579709,0.771131,0.579768","115.943,77.1186,115.9451",123
015b1c3d-804a-42d2-a651-0c10483bfb88,"0, 0, 1",0,"-1.21000e+02,-2.54458e-02,-2.54294e+01","121.,77.4992,25.5799","24200.,7752.46458,5100.93",124
015f0b96-e13d-4b13-9300-f6d5dc0ca6a6,"0, 0, 1",0,"-8.54180e+01,-1.13981e-15,-2.13545e+01","85.418,80.0794,21.3545","17083.6,8007.94,4270.9",125
0161bdab-2cb7-451f-ab1d-2e046c7229fd,"0, 0, 1",0,"-0.271293,-0.000655,-0.263639","0.269705,0.838952,0.263132","54.0998,83.9607,52.6771",126
01629aae-3b5d-4602-8899-13386406999b,"0, 0, 1",0,"-5.60982e+01,1.22070e-05,-2.79395e+01",",56.0982,205.995,27.9395","11219.64,20599.4987793,5587.9",127
016514ec-7131-4828-b090-22429ed678d2,"0, 0, 1",0,"-1.26625,0.,-0.334534","1.26625,2.15712,0.334233","253.25,215.712,66.8767",128
016606df-0db0-33a6-a9d4-2aee03eec507,"0, 0, 1",0,"-0.722616,0.001099,-0.356943","0.722637,0.76047,0.363003","144.5253,75.9371,71.9946",129
01687395-14ca-4ed8-8e51-b18463d630dc,"0, 0, 1",0,"-0.395289,0.,-0.407519","0.39521,0.871191,0.40787","79.0499,87.1191,81.5389",130
016bc42e-c044-3a36-8bbf-5db79d89585b,"0, 0, 1",0,"-1.89472e-01,-4.90000e-05,-2.01235e-01","0.17439,0.766568,0.200375","36.3862,76.6617,40.161",131
017779ff-603f-42e5-828b-283eade97439,"0, 0, 1",0,"-1.25939e+00,-7.00000e-05,-5.06710e-01","1.25926,0.827652,0.506355","251.865,82.7722,101.3065",132
017e5119-b882-45b6-8d38-c412c441c328,"0, 0, 1",0,"-1.004145,0.,-0.453607","1.004145,0.700136,0.453607","200.829,70.0136,90.7214",133
01801792-d4b6-4219-902b-8d203e297c70,"0, 0, 1",0,"-1.20254,0.,-0.399222","1.20273,0.838528,0.399199","240.527,83.8528,79.8421",134
01820211-5dd3-4f80-8e52-f7eda3ae930e,"0, 0, 1",0,"-7.29464e+01,4.09211e-04,-6.50430e+01",",73.0116,115.586,65.0029","14595.8,11558.5590789,13004.59",135
01839053-f5e1-4165-b492-85836be84194,"0, 0, 1",0,"-0.45532,0.,-0.400678","0.45532,0.729153,0.400653","91.064,72.9153,80.1331",136
0188e055-34ac-48e5-ae53-3489fbc47328,"0, 0, 1",0,"-0.621464,0.,-0.199508","0.621464,0.9855,0.199539","124.2928,98.55,39.9047",137
01899124-9a73-4a42-bee2-ba55f6efb8f3,"0, 0, 1",0,"-0.255859,-0.,-0.266845","0.255798,1.126358,0.266512",",51.1657,112.6358,53.3357",138
018bc154-9b1d-4095-b59a-3748266f54d7,"0, 0, 1",0,"-1.01803e+00,-9.12000e-04,-1.18608e+00","1.01861,1.08103,1.18578","203.664,108.1942,237.186",139
018cf659-b7a0-47cc-8490-27e3e00ed483,"0, 0, 1",0,"-1.15409e+00,-2.09000e-04,-1.26298e+00","1.15342,0.853755,1.26298","230.751,85.3964,252.596",140
018fc0ee-f00c-4e6f-8394-3f556f1aca98,"0, 0, 1",0,"-25.5448,0.,-19.1853","25.5448,61.3022,19.1853","5108.96,6130.22,3837.06",141
019688cb-a0fa-4dbd-8a67-e5dde192e8cf,"0, 0, 1",0,"-0.250017,0.,-0.20819","0.250007,0.628603,0.20819","50.0024,62.8603,41.638",142
01971013-5871-4439-b228-5ef4425141eb,"0, 0, 1",0,"-3.89545e+01,-1.52588e-06,-3.89516e+01",",38.922,121.213,38.9475",",7787.65,12121.30015259,7789.91",143
019c82d8-1522-49ca-bf38-b09e55a063e3,"0, 0, 1",0,"-0.245801,0.,-0.259346","0.245801,0.453463,0.259346","49.1602,45.3463,51.8692",144
019ecfc9-500d-45b4-869d-958f41905ba2,"0, 0, 1",0,"-0.256163,0.,-0.26915","0.256117,1.098829,0.270869",",51.228,109.8829,54.0019",145
01a3b433-9b76-4b6e-8f36-4dbae4f6338a,"0, 0, 1",0,"-5.37867e+01,-8.33089e-04,-1.89556e+01",",53.7868,115.873,18.9675","10757.35,11587.3833089,3792.31",146
01b981b1-82ce-45cc-8602-a49569ec8e0e,"0, 0, 1",0,"-1.17799e+00,-2.84000e-04,-5.38734e-01","1.17868,0.898392,0.539155","235.667,89.8676,107.7889",147
01c051c4-9cbe-48d5-b8cd-7e932ddb4a85,"0, 0, 1",0,"-11.8037,-0.0179388,-11.7963","11.8043,68.2691,11.8064","2360.8,6828.70388,2360.27",148
01c32920-6010-4661-b8a1-745eef81e225,"0, 0, 1",0,"-8.70673e-01,-3.34000e-04,-2.37427e-01","0.870757,0.954074,0.237331","174.143,95.4408,47.4758",149
01c82c34-119d-4401-b403-44d0e2aba10f,"0, 0, 1",0,"-0.407645,0.,-0.658418","0.407731,0.907088,0.657763",",81.5376,90.7088,131.6181",150
01ccb00d-2cc9-464e-a250-42adbf4eb646,"0, 0, 1",0,"-0.243635,0.,-0.243881","0.243635,0.252508,0.243881","48.727,25.2508,48.7762",151
01d33473-8e60-4d3e-aeb9-345d6b08cab4,"0, 0, 1",0,"-1.41676e+02,1.07002e-01,-5.22076e+01","141.734,90.613,52.211","28341.,9050.5998,10441.86",152
01dbfbe9-8648-49bc-9e9c-edb5e631c566,"0, 0, 1",0,"-0.230581,0.,-0.277037","0.230581,0.786584,0.276984","46.1162,78.6584,55.4021",153
01dc4d95-41d5-4602-a099-10a1ede9303c,"0, 0, 1",0,"-0.781847,0.,-0.248766","0.781847,1.91927,0.248844","156.3694,191.927,49.761",154
01dd14a2-922a-4f8f-b762-81a29e2de200,"0, 0, 1",0,"-0.245634,0.,-0.246045","0.245634,0.86623,0.246045","49.1268,86.623,49.209",155
